System,CrippenClogP
VHL-BCL2,-1.17 ± 0.01
CRBN-BCL-xL,-1.70 ± 0.05
VHL-BCL-xL,-1.37 ± 0.01
CRBN-BRD4BD1,-3.04 ± 0.06
CRBN-BRD4BD2,-2.57 ± 0.06
CRBN-CDK9,-2.41 ± 0.02
MDM2-EGFR,-0.68 ± 0.01
VHL-EGFR,-1.32 ± 0.01
VHL-FAK1,-1.74 ± 0.01
VHL-FAK1,-1.57 ± 0.03
CRBN-HDAC8,-2.83 ± 0.37
CRBN-SMARCA2,-4.21 ± 0.16
VHL-SMARCA2,-2.25 ± 0.01
VHL-SMARCA4,-2.24 ± 0.00
VHL-WDR5,-1.71 ± 0.03
Mean,-2.10
