System,Compound_ID,PROTAC,Ligase_Warhead,Target_Warhead
vhl-bclxl,3217,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCCC(=O)N2CC[NH+](C[C@]3(C)CCC(c4ccc(Cl)cc4)=C(C[NH+]4CCN(c5ccc(C(=O)NS(=O)(=O)c6ccc(N[C@H](CC[NH+]7CCOCC7)CSc7ccccc7)c(S(=O)(=O)C(F)(F)F)c6)cc5)CC4)C3)CC2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C[NH2+]CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CC[NH+](CC4=C(c5ccc(Cl)cc5)CCC(C)(C)C4)CC3)cc2)cc1S(=O)(=O)C(F)(F)F
vhl-bclxl,3218,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCCCC(=O)N2CC[NH+](C[C@@]3(C)CCC(c4ccc(Cl)cc4)=C(C[NH+]4CCN(c5ccc(C(=O)NS(=O)(=O)c6ccc(N[C@H](CC[NH+]7CCOCC7)CSc7ccccc7)c(S(=O)(=O)C(F)(F)F)c6)cc5)CC4)C3)CC2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C[NH2+]CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CC[NH+](CC4=C(c5ccc(Cl)cc5)CCC(C)(C)C4)CC3)cc2)cc1S(=O)(=O)C(F)(F)F
vhl-bclxl,3219,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCCCCC(=O)N2CC[NH+](C[C@@]3(C)CCC(c4ccc(Cl)cc4)=C(C[NH+]4CCN(c5ccc(C(=O)NS(=O)(=O)c6ccc(N[C@H](CC[NH+]7CCOCC7)CSc7ccccc7)c(S(=O)(=O)C(F)(F)F)c6)cc5)CC4)C3)CC2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C[NH2+]CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CC[NH+](CC4=C(c5ccc(Cl)cc5)CCC(C)(C)C4)CC3)cc2)cc1S(=O)(=O)C(F)(F)F
vhl-bclxl,3221,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCC(=O)N2CC[NH+](C[C@]3(C)CCC(c4ccc(Cl)cc4)=C(C[NH+]4CCN(c5ccc(C(=O)NS(=O)(=O)c6ccc(N[C@H](CC[NH+]7CCOCC7)CSc7ccccc7)c(S(=O)(=O)C(F)(F)F)c6)cc5)CC4)C3)CC2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C[NH2+]CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CC[NH+](CC4=C(c5ccc(Cl)cc5)CCC(C)(C)C4)CC3)cc2)cc1S(=O)(=O)C(F)(F)F
vhl-wdr5,2280,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCOCCNC(=O)c2ccc(-c3ccc(N4CC[NH+](C)CC4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)cc2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C[NH+]1CCN(c2ccc(-c3ccccc3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1
vhl-wdr5,2281,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCOCCOCCNC(=O)c2ccc(-c3ccc(N4CC[NH+](C)CC4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)cc2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C[NH+]1CCN(c2ccc(-c3ccccc3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1
vhl-wdr5,2282,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCOCCOCCOCCOCCNC(=O)c2ccc(-c3ccc(N4CC[NH+](C)CC4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)cc2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C[NH+]1CCN(c2ccc(-c3ccccc3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1
vhl-wdr5,2283,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)c2ccc(-c3ccc(N4CC[NH+](C)CC4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)cc2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C[NH+]1CCN(c2ccc(-c3ccccc3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1
vhl-wdr5,2284,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCNC(=O)c2ccc(-c3ccc(N4CC[NH+](C)CC4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)cc2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C[NH+]1CCN(c2ccc(-c3ccccc3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1
vhl-wdr5,2285,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCNC(=O)c2ccc(-c3ccc(N4CC[NH+](C)CC4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)cc2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C[NH+]1CCN(c2ccc(-c3ccccc3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1
vhl-wdr5,2286,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCNC(=O)c2ccc(-c3ccc(N4CC[NH+](C)CC4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)cc2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C[NH+]1CCN(c2ccc(-c3ccccc3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1
vhl-wdr5,2287,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCNC(=O)c2ccc(-c3ccc(N4CC[NH+](C)CC4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)cc2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C[NH+]1CCN(c2ccc(-c3ccccc3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1
vhl-wdr5,2288,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCNC(=O)c2ccc(-c3ccc(N4CC[NH+](C)CC4)c(NC(=O)c4c[nH]c(=O)cc4C(F)(F)F)c3)cc2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C[NH+]1CCN(c2ccc(-c3ccccc3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1
vhl-wdr5,2289,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)Cc2ccc(CNC(=O)c3ccc(-c4ccc(N5CC[NH+](C)CC5)c(NC(=O)c5c[nH]c(=O)cc5C(F)(F)F)c4)cc3)cc2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,C[NH+]1CCN(c2ccc(-c3ccccc3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1
vhl-wdr5,2293,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCOCCOc2ccc(-c3c[n+]4c([nH]3)CCC4)cc2CNC(=O)Cc2ccc(Cl)c(Cl)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,O=C(Cc1ccc(Cl)c(Cl)c1)NCc1cccc(-c2cn3c([nH+]2)CCC3)c1
vhl-wdr5,2294,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCOCCOCCOc2ccc(-c3c[n+]4c([nH]3)CCC4)cc2CNC(=O)Cc2ccc(Cl)c(Cl)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,O=C(Cc1ccc(Cl)c(Cl)c1)NCc1cccc(-c2cn3c([nH+]2)CCC3)c1
vhl-wdr5,2295,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCOCCOCCOCCOc2ccc(-c3c[n+]4c([nH]3)CCC4)cc2CNC(=O)Cc2ccc(Cl)c(Cl)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,O=C(Cc1ccc(Cl)c(Cl)c1)NCc1cccc(-c2cn3c([nH+]2)CCC3)c1
vhl-wdr5,2296,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCOCCOCCOCCOCCOc2ccc(-c3c[n+]4c([nH]3)CCC4)cc2CNC(=O)Cc2ccc(Cl)c(Cl)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,O=C(Cc1ccc(Cl)c(Cl)c1)NCc1cccc(-c2cn3c([nH+]2)CCC3)c1
vhl-wdr5,2297,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCOCCOCCOCCOCCOCCOc2ccc(-c3c[n+]4c([nH]3)CCC4)cc2CNC(=O)Cc2ccc(Cl)c(Cl)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,O=C(Cc1ccc(Cl)c(Cl)c1)NCc1cccc(-c2cn3c([nH+]2)CCC3)c1
vhl-wdr5,2298,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCOCCOCCOCCOCCOCCOCCOc2ccc(-c3c[n+]4c([nH]3)CCC4)cc2CNC(=O)Cc2ccc(Cl)c(Cl)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,O=C(Cc1ccc(Cl)c(Cl)c1)NCc1cccc(-c2cn3c([nH+]2)CCC3)c1
vhl-wdr5,2299,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCOCCOCCOCCOCCOCCOCCOCCOc2ccc(-c3c[n+]4c([nH]3)CCC4)cc2CNC(=O)Cc2ccc(Cl)c(Cl)c2)C(C)(C)C)cc1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC=O)C(C)(C)C)cc1,O=C(Cc1ccc(Cl)c(Cl)c1)NCc1cccc(-c2cn3c([nH+]2)CCC3)c1
crbn-bclxl,642,CC1(C)CCC(c2ccc(Cl)cc2)=C(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CC[NH+]5CCN(C(=O)CCCNc6cccc7c6C(=O)N([C@@H]6CCC(=O)NC6=O)C7=O)CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,CC1(C)CCC(c2ccc(Cl)cc2)=C(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CC[NH2+]CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1
crbn-bclxl,643,CC1(C)CCC(c2ccc(Cl)cc2)=C(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CC[NH+]5CCN(C(=O)CCCCNc6cccc7c6C(=O)N([C@@H]6CCC(=O)NC6=O)C7=O)CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,CC1(C)CCC(c2ccc(Cl)cc2)=C(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CC[NH2+]CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1
crbn-bclxl,644,CC1(C)CCC(c2ccc(Cl)cc2)=C(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CC[NH+]5CCN(C(=O)CCCCCNc6cccc7c6C(=O)N([C@@H]6CCC(=O)NC6=O)C7=O)CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,CC1(C)CCC(c2ccc(Cl)cc2)=C(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CC[NH2+]CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1
crbn-bclxl,645,CC1(C)CCC(c2ccc(Cl)cc2)=C(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CC[NH+]5CCN(C(=O)CCCCCCNc6cccc7c6C(=O)N([C@@H]6CCC(=O)NC6=O)C7=O)CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,CC1(C)CCC(c2ccc(Cl)cc2)=C(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CC[NH2+]CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1
crbn-bclxl,646,CC1(C)CCC(c2ccc(Cl)cc2)=C(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CC[NH+]5CCN(C(=O)CCCCCCCNc6cccc7c6C(=O)N([C@@H]6CCC(=O)NC6=O)C7=O)CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,CC1(C)CCC(c2ccc(Cl)cc2)=C(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CC[NH2+]CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1
crbn-bclxl,647,CC1(C)CCC(c2ccc(Cl)cc2)=C(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CC[NH+](CCCNc6cccc7c6C(=O)N([C@@H]6CCC(=O)NC6=O)C7=O)CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,CC1(C)CCC(c2ccc(Cl)cc2)=C(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CC[NH2+]CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1
crbn-bclxl,648,CC1(C)CCC(c2ccc(Cl)cc2)=C(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CC[NH+](CCCCNc6cccc7c6C(=O)N([C@@H]6CCC(=O)NC6=O)C7=O)CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,CC1(C)CCC(c2ccc(Cl)cc2)=C(C[NH+]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CC[NH2+]CC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1
