trial,r,rmse
1,0,2.05
2,0.05,2.28
3,-0.09,2.49
4,0.2,1.82
5,-0.06,2.6
6,0.18,2.12
7,0.02,2.76
8,-0.07,2.58
9,-0.19,2.88
10,-0.05,2.53
mean,0.00,2.4
stderr,0.04,0.1
