t,r_weight,RMSE,N_features
1,0.27,1.9,4
2,0.26,1.9,6
3,0.1,2.12,5
4,0.17,7.41,1
5,0.17,2.62,4
6,0.01,3.19,3
7,-0.02,2.24,3
8,0,2.57,10
9,0.08,2.3,4
10,0.13,2.4,9
mean,0.12,2.87,5
stderr,0.03,0.5,1
